"_path","_id","sessionId","type","timestamp","clientTimestamp","timeElapsedSeconds","readableTime","semesterTime","taskId","from","to","isAutoAdvance","completed","leftForTask","timeSpentSeconds","attempts","accuracy","userAnswer","correctAnswer","points","pointsEarned","categoryPoints","studentLearningScore","engagementInterest","completionContext","totalTimeSeconds","0","1","2","3","4","5","taskType","reason","studentId","section","6","7","currentMode","semester","hasCheckpoint","action","response","currentTask","totalSwitches","completedTasks","completedLevels","completionReason","gameMode","currentSemester","totalBonus","finalScore","finalContext","practiceCompleted","totalSemesters","isAdminMode","choice"
"events/01I1jfK1620xPugOsDvj","01I1jfK1620xPugOsDvj","3JNmRl43SrpAGSlPV49M","task_attempt","2025-08-29T14:58:11.710Z",1756479491710,1061.9,"17:41","{""elapsedSeconds"":1061.9,""readable"":""17:41"",""minutes"":17,""seconds"":41}","g2t18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/05W3I2StIOSl5Muq8jCq","05W3I2StIOSl5Muq8jCq","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:44:56.905Z",1756478696905,267.1,"4:27","{""elapsedSeconds"":267.1,""readable"":""4:27"",""minutes"":4,""seconds"":27}",,"g3t11","g1t14",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0DxxBXC7dtWnLyav8ik5","0DxxBXC7dtWnLyav8ik5","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:46:42.826Z",1756478802826,373,"6:12","{""elapsedSeconds"":373,""readable"":""6:12"",""minutes"":6,""seconds"":12}","g2t8",,,,false,"g2t9","8.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0G7YoHuvSZ16Gu0NpmAa","0G7YoHuvSZ16Gu0NpmAa","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:52:40.766Z",1756479160766,730.9,"12:10","{""elapsedSeconds"":730.9,""readable"":""12:10"",""minutes"":12,""seconds"":10}",,"g2t49","g2t50",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0IeNOSBQFdv0ko0vLMW6","0IeNOSBQFdv0ko0vLMW6","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:49:56.521Z",1756478996521,566.7,"9:26","{""elapsedSeconds"":566.7,""readable"":""9:26"",""minutes"":9,""seconds"":26}","g2t34",,,,false,"g2t35","3.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0KYmpF6SUZ0zO9wQCIEM","0KYmpF6SUZ0zO9wQCIEM","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:56:38.313Z",1756479398313,968.5,"16:08","{""elapsedSeconds"":968.5,""readable"":""16:08"",""minutes"":16,""seconds"":8}","g2t14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0Rp5lPb1e89p31scabJK","0Rp5lPb1e89p31scabJK","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:45:30.913Z",1756478730913,301.1,"5:01","{""elapsedSeconds"":301.1,""readable"":""5:01"",""minutes"":5,""seconds"":1}","g2t2",,,,,,,1,100,0,0,2,2,"{""materials"":4,""research"":19,""engagement"":20,""bonus"":0}",18.6721,3.2721,"{""totalTasksCompleted"":29,""currentGameTime"":210,""switchesBeforeCompletion"":13,""bonusPromptsEarned"":29,""timeRemaining"":510}","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0SYUocHPIjzKJ7F1HKZ1","0SYUocHPIjzKJ7F1HKZ1","3JNmRl43SrpAGSlPV49M","task_attempt","2025-08-29T14:56:30.030Z",1756479390030,960.2,"16:00","{""elapsedSeconds"":960.2,""readable"":""16:00"",""minutes"":16,""seconds"":0}","g2t12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0TbNDIpheq4y6vfi3Q65","0TbNDIpheq4y6vfi3Q65","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:51:49.468Z",1756479109468,679.6,"11:19","{""elapsedSeconds"":679.6,""readable"":""11:19"",""minutes"":11,""seconds"":19}","g3t46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0UsMLjNUV7r3UCL6qaCo","0UsMLjNUV7r3UCL6qaCo","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:51:52.545Z",1756479112545,682.7,"11:22","{""elapsedSeconds"":682.7,""readable"":""11:22"",""minutes"":11,""seconds"":22}","g3t47",,,,false,"g2t40","2.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
